Title,Image URL,Common Name,Care Level,Maximum Size,pH,Temperature,Life Span,Behaviour,Tank Region,Gender
Ember Tetra,https://upload.wikimedia.org/wikipedia/commons/8/86/Hyphessobrycon_amandae_A.jpg,Ember Tetra,Easy,2 cm,5 - 7,24°C - 28°C,2 - 4 years,Should be kept in group of 5 or more to promote schooling,Middle of tank usually,Not sure how to tell males from females
Panda Corydoras,https://upload.wikimedia.org/wikipedia/commons/d/d4/Panda_Corydoras.jpg,"Panda catfish, Panda Cory Cat",Easy,3.8 cm,6 - 8,20°C - 25°C,3 - 4 years,Very peaceful,Bottom dwellers,Females have wider bodies and may be a bit larger than males.
Albino Corydoras,https://upload.wikimedia.org/wikipedia/commons/f/f1/Albino_catfish1.jpg,"Albino Corydoras, Armored Catfish, Plated Catfish",Easy,6 cm,6 - 8,22°C - 26°C,3 - 5 years,Very peaceful,Bottom,Females are larger and rounder than male of same age
Dwarf Gourami,https://upload.wikimedia.org/wikipedia/commons/d/d6/Colisa_lalia.jpg,"Blue, Sunset Gourami, Powder Blue Gourami, Neon","Easy, good for freshwater beginners with a tank that has completed the aquarium nitrogen cycle.",8 cm,6 - 8,25°C - 28°C,3 - 4 years,"Mostly peaceful and hardy, they are good fish for beginners. They have a labyrinth organ that allows them to breathe air. You may see this behavior at the surface of the tank with them.",Middle to top,The male is more colourful while females are usually gray.
Ryukin Goldfish,https://upload.wikimedia.org/wikipedia/commons/b/b8/Goldfish_Ryukin.jpg,"Black Moor, Lionhead, Ranchu, Oranda, Ryukin, Panda, etc.",Easy - Moderate depending on variety,"Usually 8 - 13 cm, but can be bigger",6 - 7.5,5°C - 27°C,10 - 30 years and often longer,Very peaceful,All over the tank,Males may have small white spots calledtuberclesaround their gill areas when ready to spawn. Females may be noticeably larger when swelling with eggs and the males may start to chase the females around the tank.
Black Neon Tetra,https://upload.wikimedia.org/wikipedia/commons/5/58/05.Hyphessobrycon_herbertaxelrodi.JPG,Black Neon Tetra,Easy,4 cm,5.5 - 7,23°C - 27°C,2 - 5 years,Very peaceful tropical fish best kept in school of 6 or more,Middle to bottom,"Can be difficult to determine, female may be more full bodied"
Red Cap Oranda Goldfish,https://upload.wikimedia.org/wikipedia/commons/e/eb/NEW_FISH%21%21%21_3.jpg,"Black Moor, Lionhead, Ranchu, Oranda, Ryukin, Panda, etc.",Easy - Moderate depending on variety,"Usually 8 - 13 cm, but can be bigger",6 - 7.5,5°C - 27°C,10 - 30 years and often longer,Very peaceful,All over the tank,Males may have small white spots calledtuberclesaround their gill areas when ready to spawn. Females may be noticeably larger when swelling with eggs and the males may start to chase the females around the tank.
Sterbai Corydoras,https://upload.wikimedia.org/wikipedia/commons/4/4b/Corydoras_Sterbai.jpg,"Sterbai Corydoras, Sterbai Cory",Easy,6.8  cm,6 - 8,21°C - 25°C,3 - 4 years,Peaceful small schooling catfish,"Bottom region, among plants and in caves","When looking from top, females will be thicker, wider"
Red Oranda Goldfish,https://upload.wikimedia.org/wikipedia/commons/1/18/Brainfish.jpg,"Black Moor, Lionhead, Ranchu, Oranda, Ryukin, Panda, etc.",Easy - Moderate depending on variety,"Usually 8 - 13 cm, but can be bigger",6 - 7.5,5°C - 27°C,10 - 30 years and often longer,Very peaceful,All over the tank,Males may have small white spots calledtuberclesaround their gill areas when ready to spawn. Females may be noticeably larger when swelling with eggs and the males may start to chase the females around the tank.
Tiger Barb,https://upload.wikimedia.org/wikipedia/commons/2/2f/Puntius_tetrazona_%28aka%29.jpg,"Sumatra Barb, Green and Albino, Part belt Barb",Easy,8 cm,6 - 7.5,21°C - 26°C,5 years,They can be semi-aggressive and they do best when kept in a school of 6 or more.,Middle,The female is usually bigger and the male may develop a red colouration on its nose.
"Red Line Torpedo 3-4""",https://upload.wikimedia.org/wikipedia/commons/3/35/A_treatise_on_some_practical_points_relating_to_the_diseases_of_the_eye_%28IA_treatiseonsomepr00saun%29.pdf,"Bleeding Eye Barb,Denison’s Flying Fox, Red Comet Barb, Red Line Barb, Red Lined Torpedo Fish, Roseline Shark, Torpedo Barb, Miss Kerala",Easy,15 cm,6.8 - 7.8,15°C - 25°C,5+ years,Peaceful with similarly sized fish,Mid Level,"Adult females grow a bit larger, are heavier-bodied, and are sometimes less brightly coloured than males."
Platinum Rummy Nose tetra,https://upload.wikimedia.org/wikipedia/commons/d/d7/Brilliant_rummy_nose_-_Petitella_bleheri.jpg,"Brilliant Rummy Nose Tetra, Firehead Tetra, Red Nose Tetra",Easy - Moderate,5 cm,5.5 - 7,22°C - 27°C,3 - 5 years,Very peaceful tropical fish best kept in school of 6 or more,Middle to bottom,"Can be hard to determine, female may be more full bodied"
Congo Tetra,https://upload.wikimedia.org/wikipedia/commons/4/45/Phenacogrammus_interruptus_%28aka%29.jpg,Congo Tetra,Easy-Medium,"Males get to 7.6 cm, females are a little smaller",6 - 6.5,24°C - 27°C,"3 - 5 years, possibly longer","Peaceful and tolerant, may nip at delicate and succulent plants. Just don't keep with fish that are robust, hyperactive, and aggressive.",Middle to top,The males have a long dorsal fin and are a little bigger then the females. The females get fuller in the middle when they are mature because they are holding eggs.
Wakin Goldfish ( 3 inches),https://upload.wikimedia.org/wikipedia/commons/c/c2/Black_Moor_Fish.jpg,"Black Moor, Lionhead, Ranchu, Oranda, Ryukin, Panda, etc.",Easy - Moderate depending on variety,"Usually 8 - 13 cm, but can be bigger",6 - 7.5,5°C - 27°C,10 - 30 years and often longer,Very peaceful,All over the tank,Males may have small white spots calledtuberclesaround their gill areas when ready to spawn. Females may be noticeably larger when swelling with eggs and the males may start to chase the females around the tank.
Starlight Pleco,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/StarlightPleco.jpg?v=1647842100,White Seam Bristlenose Pleco,Easy,10 - 15 cm,5 - 7,26°C - 30°C,8 - 10 years,"Generally solitary, but will socialize somewhat, especially during breeding.",Bottom-dwellers,"Both sexes grow the appendages, but the growth and length is much more pronounced in males."
Green Neon Tetra,https://upload.wikimedia.org/wikipedia/commons/b/be/Gfp-neon-tetra.jpg,False Neon Tetra,Easy,up to 2 cm,5.5 - 6,23°C - 27°C,"2 - 3 years, possibly longer",The Green Neon Tetra gets big and needs to be kept with similar sized species in a large aquarium,Middle to upper levels,Not sure how to tell males from female
Harlequin Rasbora,https://upload.wikimedia.org/wikipedia/commons/7/7e/Microrasbora_rubescens.jpg,"Red Rasbora, Harlequin Fish",Easy - Moderate,5 cm,5.5 - 7,22°C - 27°C,3 - 5 years,Very peaceful,Middle to top,Females are usually larger
Lamp eye Killi Fish,https://upload.wikimedia.org/wikipedia/commons/3/39/Poropanchax_normani_%28Norman%27s_lampeye_killifish%29_02.jpg,Lampeye Killifish,Easy,3 - 4 cm,6.5 - 7,23°C - 26°C,2 - 5 years,Peaceful and timid. Must be kept in schools of 6 or more.,Top,Males fins may be slightly more pointed the females
Panda Loach,https://upload.wikimedia.org/wikipedia/commons/c/cf/To_what_extent_do_human-altered_landscapes_retain_population_connectivity%3F_Historical_changes_in_gene_flow_of_wetland_fish_Pungitius_pungitius.pdf,Panda Loach,Intermediate,5 - 6 cm,6.5 - 7.5,20°C - 23.9°C,years,"Peaceful. Juveniles appear solitary, but adults exhibit schooling behavior.",Bottom dwellers,The female panda cory is larger and has a more rounded underbelly; females are much wider than the male when viewed from above. Often the rounded belly of the female causes their head to sit a bit off the bottom of the tank. Males are sleeker and shorter in length than females.
Dwarf Neon Rainbowfish,https://upload.wikimedia.org/wikipedia/commons/3/3f/Diamant_Regenbogenfisch_%28Melanotaenia_praecox%29.jpg,"Dwarf neon rainbowfish, Neon rainbowfish, Dwarf rainbowfish, Praecox rainbowfish",Moderate,6 cm,6 - 8,22°C - 28°C,"Dwarf Neon Rainbowfish can live up to five years in good conditions. On average, they tend to live around 3 years, but that number is very dependent on the care they receive.","Schooling, should be kept in as large of groups as possible. Dominant males may attack or kill subdominant males in small aquariums. Peaceful with most other comparably-sized fish.",Middle/Top,"Males have red fins, Females have yellow and sometimes deep orange fins."
Boesemani Rainbowfish,https://upload.wikimedia.org/wikipedia/commons/9/94/Melanotaenia_boesemani_-_Karlsruhe_Zoo_01.jpg,Boeseman's rainbowfish,Easy,8 - 11 cm,6 - 8,27 - 30°C,3 - 5 years,Very peaceful,Middle,Maturemales are larger and exhibit brighter colouration than females. They also develop a much deeper body than females as they grow.
Balloon Gourami,https://upload.wikimedia.org/wikipedia/commons/d/d0/Trees_rising_out_of_Cheow_Lan_Lake%2C_blue_sky%2C_eternal_summer_in_Surat_Thani_edited.jpg,"Blue, Sunset Gourami, Powder Blue Gourami, Neon","Easy, good for freshwater beginners with a tank that has completed the aquarium nitrogen cycle.",8 cm,6 - 8,25°C - 28°C,3 - 4 years,"Mostly peaceful and hardy, they are good fish for beginners. They have a labyrinth organ that allows them to breathe air. You may see this behavior at the surface of the tank with them.",Middle to top,The male is more colourful while females are usually gray.
Blue Axelrodi Rasboras,https://upload.wikimedia.org/wikipedia/commons/8/8d/Histoire_naturelle_des_poissons_%28IA_histoirenaturell16cuvie%29.pdf,Axelrods Rasbora,Intermediate,2 - 5cm,4 - 6.5,22.8°C - 26.1°C,years,Peaceful. Best kept as school of 6+,Middle - Top,"Males are much more colourful usually with more blue on the flanks, are noticeably slimmer than females and also exhibit dark colouration in the anal and ventral fins whereas females have a colourless anal fin."
Golden Tetra,https://upload.wikimedia.org/wikipedia/commons/5/52/Hemigrammus_rodwayi_by_DaijuAzuma.JPG,"GoldTetra, Golden Tetra.",Beginner - Immediate,5 cm,6 - 7,24°C - 28°C,3 - 4 years,Peaceful,Middle layer,"The analfin of the female has a red hue, and a white leading edge."
Kubotai Rasboras,https://upload.wikimedia.org/wikipedia/commons/a/ab/Microdevario_kubotai-hires.jpg,"Neon Green Rasnora, Green Rasbora",Moderate,2 cm,6 - 7,20°C - 27°C,3 - 7 years,It is a peaceful species. They are found in groups in nature and it is recommended to keep them in groups in aquariums.,MIddle,"Mature females tend to be deeper-bodied and noticeably larger than the more compact, intensely-coloured males."
Balloon Gold Ram,https://upload.wikimedia.org/wikipedia/commons/6/69/The_balloon_travels_of_Robert_Merry_and_his_young_friends_-_over_various_countries_in_Europe_%28IA_balloontravelsof00goodiala%29.pdf,Balloon Gold Ram,"Medium-Difficult, mostly because it needs a well established tank",5 - 7.5cm,5.5 - 7.0,26-30°C,3 years or longer,"Peaceful, but when breeding, the male guards the eggs and can and will be very aggressive. If there are 2 males in a tank smaller then 30 gallons and without plenty of hiding places, they will show territorial disputes between them.",Middle,"An Adult female is stockier built, her tail has a more round edging and the red patch on her belly is bigger and bolder than the male"
Blue Diamond Discus Fish,https://upload.wikimedia.org/wikipedia/commons/a/ae/Leichtathletik_Gala_Linz_2018_discus_throw_Szikszai-7412.jpg,Discus,"Medium-Difficult, mostly because it needs a well established tank",15cm,6.5 - 7.5,27-30°C,3 years or longer,Very peaceful most of the time. They may become territorial when they pair off to breed,Middle,"The genital papilla is pointed in males, and rounded in females. You have to observe them when they are spawning."
Tricolor Angel,https://upload.wikimedia.org/wikipedia/commons/4/4f/Albino_Alligator_2008.jpg,"Albino, Black, Gold, Silver, Marbled, Koi, etc - seems there is a common name for each color variety.",Easy,15 cm,6 - 7.5,23°C - 29°C,8 - 10 years,"They are generally peaceful, but can be aggressive eaters and may become territorial while breeding.",All levels of the aquarium.,"There are no visible differences between the male and female. Only at spawing will you be able to tell the male from the female. A female has a round ""tear-drop"" shaped breeding tube and a male has a cone shaped breeding tube."
Blue Angel,https://upload.wikimedia.org/wikipedia/commons/4/4f/Albino_Alligator_2008.jpg,"Albino, Black, Gold, Silver, Marbled, Koi, etc - seems there is a common name for each color variety.",Easy,15 cm,6 - 7.5,23°C - 29°C,8 - 10 years,"They are generally peaceful, but can be aggressive eaters and may become territorial while breeding.",All levels of the aquarium.,"There are no visible differences between the male and female. Only at spawing will you be able to tell the male from the female. A female has a round ""tear-drop"" shaped breeding tube and a male has a cone shaped breeding tube."
German Blue Ram,https://upload.wikimedia.org/wikipedia/commons/3/33/Project_Blue_Book_report_-_1954-08-8715570-Kaiserslautern%2C_Germany.pdf,German Blue Ram,"Medium-Difficult, mostly because it needs a well established tank",5 - 7.5cm,5.5 - 7.0,26-30°C,3 years or longer,"Peaceful, but when breeding, the male guards the eggs and can and will be very aggressive. If there are 2 males in a tank smaller then 30 gallons and without plenty of hiding places, they will show territorial disputes between them.",Middle,"An Adult female is stockier built, her tail has a more round edging and the red patch on her belly is bigger and bolder than the male"
Albino Tiger Barb,https://upload.wikimedia.org/wikipedia/commons/2/2f/Puntius_tetrazona_%28aka%29.jpg,"Sumatra Barb, Green and Albino, Part belt Barb",Easy,8 cm,6 - 7.5,21°C - 26°C,5 years,They can be semi-aggressive and they do best when kept in a school of 6 or more.,Middle,The female is usually bigger and the male may develop a red colouration on its nose.
Peckoltia sp.pleco,https://upload.wikimedia.org/wikipedia/commons/7/7a/Peckoltia_wernekei_sp.n.jpg,Peckoltia sp.,Easy,10 - 15 cm,5 - 7,26°C - 30°C,8 - 10 years,"Generally solitary, but will socialize somewhat, especially during breeding.",Bottom-dwellers,"Both sexes grow the appendages, but the growth and length is much more pronounced in males."
Platinum Angel Veiltail,https://upload.wikimedia.org/wikipedia/commons/4/4f/Albino_Alligator_2008.jpg,"Albino, Black, Gold, Silver, Marbled, Koi, etc - seems there is a common name for each color variety.",Easy,15 cm,6 - 7.5,23°C - 29°C,8 - 10 years,"They are generally peaceful, but can be aggressive eaters and may become territorial while breeding.",All levels of the aquarium.,"There are no visible differences between the male and female. Only at spawing will you be able to tell the male from the female. A female has a round ""tear-drop"" shaped breeding tube and a male has a cone shaped breeding tube."
Albino angel,https://upload.wikimedia.org/wikipedia/commons/4/4f/Albino_Alligator_2008.jpg,"Albino, Black, Gold, Silver, Marbled, Koi, etc - seems there is a common name for each color variety.",Easy,15 cm,6 - 7.5,23°C - 29°C,8 - 10 years,"They are generally peaceful, but can be aggressive eaters and may become territorial while breeding.",All levels of the aquarium.,"There are no visible differences between the male and female. Only at spawing will you be able to tell the male from the female. A female has a round ""tear-drop"" shaped breeding tube and a male has a cone shaped breeding tube."
Wotroi Corydoras ( L ),https://upload.wikimedia.org/wikipedia/commons/1/12/Corydoras_Albino.jpg,"Albino Corydoras, Armored Catfish, Plated Catfish",Easy,6 cm,6 - 8,22°C - 26°C,3 - 5 years,Very peaceful,Bottom,Females are larger and rounder than male of same age
Zebra Otocinclus,https://upload.wikimedia.org/wikipedia/commons/b/bc/Oliver_Mark_-_Otto_Habsburg-Lothringen%2C_P%C3%B6cking_2006.jpg,"Otto, Oto Cat, Dwarf Sucking Catfish, Midget Sucker Fish",Easy,5 cm,6 - 7.5,21°C - 26°C,3 - 5 years,Very peaceful,Mostly middle to top,The male is usually smaller than a female of the same age
Koi (Nishikigoi),https://commons.wikimedia.org/wiki/File:Koi_carp._(52543544530).jpg,"Koi, Nishikigoi, Japanese Carp",Moderate,75 - 90 cm,7.0 - 8.5,15°C - 26°C,25 - 50+ years,"Peaceful, highly social, active swimmer",All levels,Females are generally rounder and broader; males develop breeding tubercles on gill covers.
Comet Goldfish,https://upload.wikimedia.org/wikipedia/commons/8/81/Comet_67P_on_19_September_2014_NavCam_mosaic.jpg,"Comet Goldfish, Single-Tail Goldfish",Easy,30 cm,6.8 - 7.8,18°C - 24°C,10 - 15 years,"Fast, hardy, active community swimmer",All levels,Males display small white spots (tubercles) on pectoral fins and gill covers during spawning.
Shubunkin Goldfish,https://upload.wikimedia.org/wikipedia/commons/c/c6/Clear_shubunkin.jpg,"Shubunkin, Calico Goldfish, Speckled Goldfish",Easy,25 - 30 cm,6.8 - 7.8,18°C - 24°C,10 - 15 years,"Peaceful, fast swimmer, hardy calico pond fish",All levels,Females appear fuller-bodied and rounded when carrying eggs.
Fantail Goldfish,https://upload.wikimedia.org/wikipedia/commons/2/25/Spot-breasted_Fantail_in_Saswad_August_2025_by_Tisha_Mukherjee_02.jpg,"Fantail, Double-tail Goldfish",Easy - Moderate,15 - 20 cm,6.5 - 7.5,18°C - 24°C,8 - 12 years,"Peaceful, slower swimmer than single-tail varieties",Middle to Bottom,Females are rounder; males develop white breeding tubercles on gill plates.
Weather Loach / Dojo Loach,https://upload.wikimedia.org/wikipedia/commons/8/86/Misgurnus_anguillicaudatus.jpg,"Dojo Loach, Weather Loach, Oriental Weatherfish",Easy,20 - 25 cm,6.5 - 7.5,10°C - 25°C,8 - 10 years,"Peaceful bottom scavenger, responds actively to barometric pressure shifts",Bottom,"Males have larger, triangular-shaped pectoral fins."
Rosy Red Minnow,https://upload.wikimedia.org/wikipedia/commons/3/37/Fathead_Minnow_-_Breeding_Male.JPG,"Fathead Minnow, Rosy Red Minnow",Very Easy,5 - 8 cm,7.0 - 8.0,10°C - 26°C,2 - 4 years,"Peaceful schooling dither fish, great mosquito larva eater",Middle to Top,Breeding males develop dark coloration and pad-like spongy structures on their heads.
Golden Orfe,https://upload.wikimedia.org/wikipedia/commons/c/cd/LeuciscusIdusWindeIde56cm_21-4-2009_16-46-58.JPG,"Golden Orfe, Ide",Moderate,40 - 60 cm,6.8 - 8.0,10°C - 22°C,15 - 20 years,"Extremely fast, surface schooling fish requiring high dissolved oxygen",Surface to Middle,Females grow larger and heavier-bodied when mature.
Golden Tench,https://upload.wikimedia.org/wikipedia/commons/3/34/British_fresh_water_fishes_%28Plate-_Golden_tench%29_%288550935105%29.jpg,"Golden Tench, Doctor Fish",Easy,30 - 45 cm,6.5 - 8.0,10°C - 24°C,15 - 20 years,"Peaceful, shy bottom dweller, historically believed to heal other fish",Bottom,Males have significantly larger and thicker pelvic fins.
Sailfin Molly,https://upload.wikimedia.org/wikipedia/commons/1/16/Poecilia_latipinna.jpg,"Sailfin Molly, Giant Molly",Easy,10 - 12 cm,7.5 - 8.5,22°C - 28°C,3 - 5 years,"Active, peaceful livebearer, excellent algae and mosquito eater for patio tubs",Middle to Top,Males possess a prominent sail-like dorsal fin and a gonopodium.
Guppy / Endler's Livebearer,https://upload.wikimedia.org/wikipedia/commons/5/5e/Guppy_Poecilia_reticulata.jpg,"Guppy, Rainbowfish, Millions Fish",Very Easy,4 - 6 cm,7.0 - 8.0,22°C - 28°C,2 - 3 years,"Peaceful, rapid livebearer breeder, top-tier mosquito control for container ponds",Top,Males are smaller with vivid coloration and a gonopodium; females are larger and duller.
Paradise Fish,https://upload.wikimedia.org/wikipedia/commons/9/94/Para_1.jpg,"Paradise Gourami, Paradise Fish",Easy - Moderate,8 - 10 cm,6.0 - 8.0,16°C - 26°C,5 - 8 years,"Hardy air-breathing labyrinth fish, can be semi-aggressive toward tankmates",Top,Males feature longer fin filaments and significantly brighter coloration.
Giant Gourami,https://upload.wikimedia.org/wikipedia/commons/0/0d/Osphronemus_goramy_albino_2015_G1.jpg,"Giant Gourami, Osphronemus",Easy - Moderate,45 - 60 cm,6.5 - 7.8,20°C - 30°C,10 - 20+ years,"Large, intelligent, mostly peaceful but requires massive pond volume",All levels,Males develop a prominent nuchal hump on their forehead and pointed dorsal/anal fins.
Tinfoil Barb,https://upload.wikimedia.org/wikipedia/commons/5/52/Barbonymus_schwanenfeldii_%26_Thorichthys_meeki.jpg,"Tinfoil Barb, Gold Tinfoil",Easy,30 - 35 cm,6.5 - 7.5,22°C - 28°C,8 - 10 years,"Fast, active schooling fish, requires large open swimming areas in outdoor ponds",Middle,Difficult to sex visually; females are slightly rounder when egg-laden.
Common Pleco,https://upload.wikimedia.org/wikipedia/commons/3/3b/Common_pleco%28Hypostomus_plecostomus%29.jpg,"Common Plecostomus, Leopard Sailfin Pleco",Easy,30 - 50 cm,6.5 - 7.8,20°C - 28°C,10 - 15+ years,Solitary bottom-dwelling nocturnal algae scraper and scavenger,Bottom,Hard to sex visually; mature males may show small odontodes on pectoral rays.
Ranchu Goldfish,https://upload.wikimedia.org/wikipedia/commons/b/b7/Goldfish_Ranchu_2.jpg,"Ranchu, King of Goldfish",Moderate,12 - 18 cm,6.5 - 7.5,18°C - 24°C,6 - 10 years,"Slow swimmer without a dorsal fin, best suited for shallow garden ponds or tubs",Middle to Bottom,Females have rounder bellies; males develop white tubercles on pectoral fins during spawning.
