date,station,daily_rainfall_total,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed
15/5/2009,Admiralty,39.6,27.8,34,24.1,5.6,34.2
16/5/2009,Admiralty,0.2,27.6,33.7,25.7,5.5,34.2
17/5/2009,Admiralty,0,29,33.6,25,6.8,25.6
18/5/2009,Admiralty,2,26.5,29.5,24.5,5.5,35.6
19/5/2009,Admiralty,0,28.8,33.6,25.3,5.7,23
20/5/2009,Admiralty,0,29.5,33.4,26.3,6.8,25.2
21/5/2009,Admiralty,62.8,28.5,33.1,24.3,7.2,45.4
22/5/2009,Admiralty,0,29.5,34.2,25.2,5.6,27.7
23/5/2009,Admiralty,25.6,27.8,32.7,24.1,7.4,38.2
24/5/2009,Admiralty,0,29.3,34.2,25.5,6.6,25.2
25/5/2009,Admiralty,0,30,34.7,26.4,7.5,31
26/5/2009,Admiralty,22.6,27.1,31,24.5,7.5,65.9
27/5/2009,Admiralty,0,29,33.1,25.6,5.3,21.2
28/5/2009,Admiralty,0.8,28.8,33.1,27,7.2,44.3
29/5/2009,Admiralty,0,28.5,33.5,26,6.4,28.4
30/5/2009,Admiralty,2.4,28.3,32.4,23.9,7.8,55.8
31/5/2009,Admiralty,0,29.2,33.6,25.9,9.5,33.5
1/6/2009,Admiralty,0,29.9,34.2,26.5,7.8,23
2/6/2009,Admiralty,0.8,30.4,34.6,27.8,6.1,24.1
3/6/2009,Admiralty,3.2,28.2,31,24.3,7.8,38.9
4/6/2009,Admiralty,0,28.4,31.8,24.8,7.2,43.9
5/6/2009,Admiralty,0,30.2,33.8,27.8,7.1,30.6
6/6/2009,Admiralty,0,30.3,34.2,27.8,5.9,23.8
7/6/2009,Admiralty,13.4,27.6,32.4,24.7,5.6,55.1
8/6/2009,Admiralty,0,29.1,33,25.6,6,29.2
9/6/2009,Admiralty,0,30.1,33.7,27.6,5.1,23.8
10/6/2009,Admiralty,0,30.6,34.6,27.8,6.2,23
11/6/2009,Admiralty,0,30.1,34.7,26.6,7.1,27
12/6/2009,Admiralty,1.8,28.6,34.3,25.9,7,40.3
13/6/2009,Admiralty,16.6,27.6,31.6,23.7,6.5,41.4
14/6/2009,Admiralty,0,28.4,32.4,24.8,5.6,28.1
15/6/2009,Admiralty,0,28.6,31.6,26.1,7.2,37.8
16/6/2009,Admiralty,0,28.8,31.3,26.8,6.5,28.8
17/6/2009,Admiralty,0,30.3,33.9,27.9,6.6,26.3
18/6/2009,Admiralty,0,30.2,34.2,27,7,29.9
19/6/2009,Admiralty,0,29.8,32.9,27.7,6.3,32.4
20/6/2009,Admiralty,9.6,29.3,33.7,25,6.5,45.7
21/6/2009,Admiralty,11,28.4,33.2,25.8,5.1,27
22/6/2009,Admiralty,0.2,28.4,31.8,25.6,5.2,21.6
23/6/2009,Admiralty,21.6,27.8,32.4,25.6,5.2,28.1
24/6/2009,Admiralty,2.4,26.1,27.7,25.2,7.5,36.7
25/6/2009,Admiralty,0,28.8,33.2,25,6.8,21.2
26/6/2009,Admiralty,0,28.8,34.1,25.9,5.4,28.1
27/6/2009,Admiralty,0,27.8,32.3,24.7,5.9,37.8
28/6/2009,Admiralty,10.6,28.2,32.1,25.6,4.8,34.2
29/6/2009,Admiralty,0.8,27.5,32.2,24.4,7.3,30.2
30/6/2009,Admiralty,0,28.6,33.2,24.5,6.8,27.7
1/7/2009,Admiralty,6.8,28.3,32.4,25.8,5.7,32
2/7/2009,Admiralty,11.6,27.1,32,23.9,5.3,56.9
3/7/2009,Admiralty,0,28.7,32.9,24.7,5.4,30.6
4/7/2009,Admiralty,0,29.5,33.7,27.2,7.8,44.3
5/7/2009,Admiralty,29.8,26.6,31.6,23.4,7.4,34.9
6/7/2009,Admiralty,0,26.4,30.1,23.8,6.4,35.3
7/7/2009,Admiralty,1.4,27.1,31.4,24.6,4.8,36.4
8/7/2009,Admiralty,0.6,27.2,32.3,24.4,5.3,36
9/7/2009,Admiralty,3.4,27.6,33.6,25.5,4.8,26.3
10/7/2009,Admiralty,8,27,31.8,24.7,5.9,40
11/7/2009,Admiralty,0,27.3,31,25,10.2,47.5
12/7/2009,Admiralty,0,27.5,30.4,24.4,10.9,45.7
13/7/2009,Admiralty,0,28.9,32.1,26.4,7.4,35.6
14/7/2009,Admiralty,4.6,28.9,31.9,26.9,6.9,27
15/7/2009,Admiralty,0.8,27.3,30.2,22.5,5.7,50.4
16/7/2009,Admiralty,0,29,31.6,27,6.8,34.9
17/7/2009,Admiralty,0,29.3,32.1,27.6,6.3,31
18/7/2009,Admiralty,0.8,28.9,32.5,27.4,5.8,27.4
19/7/2009,Admiralty,1.2,28.2,31.6,26,6.3,32.8
20/7/2009,Admiralty,0,29.5,33.7,26.7,5.6,26.3
21/7/2009,Admiralty,2,29.8,33.5,27.5,7.5,28.8
22/7/2009,Admiralty,18.6,26.6,29.1,22.5,6.5,50
23/7/2009,Admiralty,4,29,32.9,25.3,6.1,29.9
24/7/2009,Admiralty,0.2,27.2,29.2,23.8,6.7,47.5
25/7/2009,Admiralty,0,28.9,32.2,26,5.6,25.9
26/7/2009,Admiralty,0,28.3,31.9,24.1,8.6,45.7
27/7/2009,Admiralty,9.2,26.5,30.4,22.6,7.1,59.4
28/7/2009,Admiralty,0,28,33.1,23.4,6.7,33.1
29/7/2009,Admiralty,0,29,32.3,26.8,7.1,33.1
30/7/2009,Admiralty,0,28.5,32.2,24.9,7.2,29.5
31/7/2009,Admiralty,0,28.8,32.8,24.9,6.2,29.5
1/8/2009,Admiralty,0,28.9,31.7,26.5,6.5,28.8
2/8/2009,Admiralty,0,29.2,32.4,27,6.4,29.9
3/8/2009,Admiralty,0,29.2,32.9,26.8,7.1,31.3
4/8/2009,Admiralty,0,29.3,33,27,6.5,27.4
5/8/2009,Admiralty,1.2,28.1,30.9,26.6,6.1,40.3
6/8/2009,Admiralty,0,29.4,33.6,24.4,5.7,29.2
7/8/2009,Admiralty,0,29,32.3,27,6.4,40.7
8/8/2009,Admiralty,0,29,32.5,25.6,6.3,29.5
9/8/2009,Admiralty,0.2,29.3,33.1,27.4,7,27.7
10/8/2009,Admiralty,0,26.9,30.1,23.7,6.9,50.4
11/8/2009,Admiralty,0.4,28.9,33.2,26.2,6.2,25.9
12/8/2009,Admiralty,0,29.3,33,27.3,9.8,36.4
13/8/2009,Admiralty,0,29.7,33.6,27.4,8.7,33.5
14/8/2009,Admiralty,0,28.9,33,26.1,7.8,38.5
15/8/2009,Admiralty,2.8,26.8,30.6,25.4,5.6,43.6
16/8/2009,Admiralty,3.6,27.7,33.1,25.1,5.7,33.1
17/8/2009,Admiralty,8.4,27.1,30.7,24.9,4.5,33.1
18/8/2009,Admiralty,0,28.8,33.1,25.4,8.4,37.4
19/8/2009,Admiralty,0,29.1,33,26,6.3,27.7
20/8/2009,Admiralty,3,27.5,32.7,23.3,6.3,43.9
21/8/2009,Admiralty,0.6,26.6,30.7,23.7,4.8,38.9
22/8/2009,Admiralty,8.2,28.8,33.3,24.7,5.9,26.3
23/8/2009,Admiralty,0,26.3,29.6,23.2,7,38.2
24/8/2009,Admiralty,16.2,27.7,31,24.3,9.7,43.9
25/8/2009,Admiralty,0,27.5,31.4,22.7,10.4,47.5
26/8/2009,Admiralty,0.4,27.5,31.4,24.4,5.2,39.6
27/8/2009,Admiralty,37,26.2,28.2,23.6,9.8,33.1
28/8/2009,Admiralty,0,26.7,30.6,23.2,11.4,48.6
29/8/2009,Admiralty,0,28.9,32.5,26.2,6.7,30.2
30/8/2009,Admiralty,7.8,26.2,28.3,24.1,7,47.5
31/8/2009,Admiralty,0.4,27.5,31.6,25.2,5.4,24.8
1/9/2009,Admiralty,24,25.3,29.9,23.5,9.5,49
2/9/2009,Admiralty,0,27.8,32.6,23.8,5,24.5
3/9/2009,Admiralty,1.4,28.9,32.7,26.5,7.1,29.9
4/9/2009,Admiralty,4,28.5,31.2,26.2,5.4,29.2
5/9/2009,Admiralty,0,28.3,32.1,24.9,7.7,41.4
6/9/2009,Admiralty,1,26.6,28,24.4,5,40.7
7/9/2009,Admiralty,0,28.5,31.8,25.9,6,25.9
8/9/2009,Admiralty,0,29.1,31.9,27.4,5.1,20.9
9/9/2009,Admiralty,0,29.8,33.4,27.7,5.6,31.3
10/9/2009,Admiralty,3.4,29.2,32.6,26.1,5.7,30.2
11/9/2009,Admiralty,4.6,27.4,31.3,26,4.7,27.4
12/9/2009,Admiralty,0,29.2,33.3,26,6.3,30.6
13/9/2009,Admiralty,3.8,29.3,33.3,26.6,7,46.8
14/9/2009,Admiralty,0,29.5,34.1,25.8,6.1,24.5
15/9/2009,Admiralty,0,29.5,33.2,26.9,5.3,30.2
16/9/2009,Admiralty,8.2,28.9,34.3,24.9,6,37.1
17/9/2009,Admiralty,0,27.3,30.1,26.1,7.3,30.2
18/9/2009,Admiralty,8.2,26.1,29.4,23.1,4.7,39.2
19/9/2009,Admiralty,5.4,25.8,28.4,23.5,5.6,31.3
20/9/2009,Admiralty,0,28.6,33.1,25,5,29.9
21/9/2009,Admiralty,0.2,27.6,32.9,24.8,6.6,28.1
22/9/2009,Admiralty,0,27.5,30.9,24.8,6.6,32.8
23/9/2009,Admiralty,0.2,28.5,32,25.4,6.3,31.3
24/9/2009,Admiralty,1,27.5,31.2,23.5,8.7,54.4
25/9/2009,Admiralty,0,29,32.5,26.1,7.1,33.5
26/9/2009,Admiralty,0,29.6,33.1,25.9,6.9,35.6
27/9/2009,Admiralty,0,29.3,32.9,27.1,6.2,28.8
28/9/2009,Admiralty,0,29.7,33.5,27.4,5.9,33.1
29/9/2009,Admiralty,1.8,28.5,31.2,25.3,11.4,44.6
30/9/2009,Admiralty,0.4,28.8,32.6,24.3,7.1,40
1/10/2009,Admiralty,0,27.8,29.7,25.2,7.6,42.8
2/10/2009,Admiralty,0,28.7,33.5,26.4,7,33.1
3/10/2009,Admiralty,2.6,26.8,31.5,24.8,7.3,55.8
4/10/2009,Admiralty,0,27.4,32.4,24.4,7.8,40
5/10/2009,Admiralty,0.6,27.5,30.4,25.5,9.2,43.9
6/10/2009,Admiralty,0,27.7,29.9,24.1,7.5,41.4
7/10/2009,Admiralty,0,29,33.2,24.7,5.3,37.4
8/10/2009,Admiralty,16.6,26.8,30.6,22.2,5.7,50.8
9/10/2009,Admiralty,0,29.2,33.4,25.1,6,32.4
10/10/2009,Admiralty,12.8,27.9,31.6,24,5.5,59.4
11/10/2009,Admiralty,0,29.5,33.2,26.2,6.2,29.9
12/10/2009,Admiralty,3.2,27.4,31.4,25.5,6.2,37.8
13/10/2009,Admiralty,0,27.6,31.5,25.3,6.2,28.4
14/10/2009,Admiralty,2.4,27.1,31.4,25.3,4.9,33.8
15/10/2009,Admiralty,21.6,26.7,32.9,23.6,4.7,43.9
16/10/2009,Admiralty,13.4,27.8,32.3,22.9,5.8,47.5
17/10/2009,Admiralty,0,28.9,33.8,25.7,6.7,27.4
18/10/2009,Admiralty,0,29,33.1,26.1,7.1,31.7
19/10/2009,Admiralty,0,29.6,34.3,26,5.4,25.9
20/10/2009,Admiralty,0,29.2,33.1,26.7,5.7,33.8
21/10/2009,Admiralty,0,28.6,32.2,25.6,8.2,31.7
22/10/2009,Admiralty,0.6,28.2,30.8,25.9,5.5,22.3
23/10/2009,Admiralty,30.4,27.4,32.4,24.3,6.2,32.4
24/10/2009,Admiralty,0,28.8,33.5,25.5,5.9,25.6
25/10/2009,Admiralty,3.8,27.6,31.1,24.7,8,38.2
26/10/2009,Admiralty,0,28.5,33,24.9,6.8,28.4
27/10/2009,Admiralty,0,28,31.4,25.5,6.4,35.3
28/10/2009,Admiralty,1,26.9,31.8,25.1,5,19.4
29/10/2009,Admiralty,0,27.3,31.4,24.6,7.9,27.4
30/10/2009,Admiralty,49.4,27.5,32.1,25.3,5.6,38.2
31/10/2009,Admiralty,1.6,26.3,31.5,22.8,7,45.4
1/11/2009,Admiralty,0,27.7,33,25.1,6.6,30.2
2/11/2009,Admiralty,19.6,27.2,32.9,24.4,5.1,29.2
3/11/2009,Admiralty,0.2,27.9,34.9,25.2,6.1,40.7
4/11/2009,Admiralty,3.4,27.7,31.1,25.4,10.2,49
5/11/2009,Admiralty,66.4,25.8,31,23.8,6.6,38.5
6/11/2009,Admiralty,0,26.8,31.1,24.6,5.6,23
7/11/2009,Admiralty,0.2,27.6,33.1,24.6,6.1,25.2
8/11/2009,Admiralty,0,28.5,33.1,25.5,7.9,33.5
9/11/2009,Admiralty,0.2,26.7,28.8,25.5,6.5,28.1
10/11/2009,Admiralty,3.6,26.4,31.3,24.8,6.6,40.3
11/11/2009,Admiralty,0.2,27.6,32.6,24.5,6.3,45.4
12/11/2009,Admiralty,7,27.1,30.9,25.5,5.1,33.5
13/11/2009,Admiralty,13.2,25.6,29.9,23.9,7.1,32.4
14/11/2009,Admiralty,0,25.7,30,23.3,7,40.7
15/11/2009,Admiralty,4.4,26.7,32.5,24.1,7.3,35.3
16/11/2009,Admiralty,34,25.6,28.7,23.6,7.6,29.2
17/11/2009,Admiralty,0.2,27.2,33.1,23.6,8.2,33.1
18/11/2009,Admiralty,36.2,26.7,30.6,23,6.6,41.8
19/11/2009,Admiralty,71.4,25.3,30.6,23.6,8,50
20/11/2009,Admiralty,0,25.8,29.5,23.5,7.6,28.8
21/11/2009,Admiralty,1.2,26.7,31.9,24,9.5,49.3
22/11/2009,Admiralty,0,27.1,30.5,25.2,15.9,48.6
23/11/2009,Admiralty,0,26.8,28.9,25.1,10.9,38.2
24/11/2009,Admiralty,0,27.8,31.1,25.6,12,45
25/11/2009,Admiralty,0,28.3,32.9,25.4,9.6,43.6
26/11/2009,Admiralty,0,28,34.1,25,8.8,31.7
27/11/2009,Admiralty,10.4,27.6,32.9,24.5,8.9,51.1
28/11/2009,Admiralty,0.8,27.6,32.5,25.6,9,34.6
29/11/2009,Admiralty,0,26.7,29.4,24.9,11.1,43.2
30/11/2009,Admiralty,0,26.4,27.7,25.3,8.2,30.2
1/12/2009,Admiralty,0,27.6,31.3,24.8,7.6,33.5
2/12/2009,Admiralty,0,26.8,31,24.8,6.7,24.8
3/12/2009,Admiralty,0.4,26.4,28.1,25,7.3,23.8
4/12/2009,Admiralty,11.6,25.6,29.1,24.1,7.5,26.3
5/12/2009,Admiralty,18.6,25.4,28.7,24.3,6.1,27.4
6/12/2009,Admiralty,0.6,25.9,29.4,24.3,7.3,34.2
7/12/2009,Admiralty,10.6,26.6,30.1,24.1,10.2,48.6
8/12/2009,Admiralty,0,27.4,31.4,24.9,12.3,38.2
9/12/2009,Admiralty,0.2,27,30.6,25,10.2,37.4
10/12/2009,Admiralty,0,27.4,31.1,25.2,12.8,39.6
11/12/2009,Admiralty,0,27.3,31.2,24.8,12.5,36.7
12/12/2009,Admiralty,0,27.3,31.5,24.8,12.3,38.2
13/12/2009,Admiralty,5.4,27.2,31,24.5,9.3,34.6
14/12/2009,Admiralty,0,27.6,31.1,25.9,10.5,34.9
15/12/2009,Admiralty,1.8,27.6,32.9,25.7,7.6,32
16/12/2009,Admiralty,5.8,27.2,32,24.9,8.4,34.2
17/12/2009,Admiralty,12.4,26.4,29.3,24.7,5.6,34.6
18/12/2009,Admiralty,0,26.9,29.6,25,7.2,25.6
19/12/2009,Admiralty,9.2,25.5,28,24.3,7.9,31
20/12/2009,Admiralty,0,26.4,29.9,24.3,10.4,40.3
21/12/2009,Admiralty,4,26.8,29.9,25,13.5,54.4
22/12/2009,Admiralty,1.2,26.6,29.8,24.7,12.6,51.1
23/12/2009,Admiralty,4,27.1,29.6,25.4,12.6,42.1
24/12/2009,Admiralty,5.6,25.5,26.4,24.8,10.3,33.5
25/12/2009,Admiralty,0,27,31,24.5,6.3,32.4
26/12/2009,Admiralty,5.4,26,31,24.6,7.2,32
27/12/2009,Admiralty,2.2,26.1,29.7,24.5,9.8,37.4
28/12/2009,Admiralty,1,26.4,29,24.4,8.4,30.2
29/12/2009,Admiralty,0,27,30.4,25,8.6,25.9
30/12/2009,Admiralty,0,27,30.1,25.1,8.6,25.2
31/12/2009,Admiralty,0,27.2,30.6,25,10.6,35.6
1/1/2010,Admiralty,6.8,26.9,31.9,25,7.2,24.8
2/1/2010,Admiralty,0.6,27,31.5,24.5,6.2,24.5
3/1/2010,Admiralty,7,27.4,31.7,25.5,8.5,32
4/1/2010,Admiralty,0.2,26.1,29.6,23.1,8.7,44.3
5/1/2010,Admiralty,0,27.2,33.3,24.4,8.8,33.5
6/1/2010,Admiralty,12.4,27.7,31.7,25.8,9,32.4
7/1/2010,Admiralty,2,25.7,28.4,22.8,9.3,51.1
8/1/2010,Admiralty,2.8,26.4,30.4,23.9,10.8,45.7
9/1/2010,Admiralty,0,26.9,30.6,24.7,11.5,38.5
10/1/2010,Admiralty,0,27,31.7,24.1,8.1,28.8
11/1/2010,Admiralty,0,27.3,31.9,24.1,8.9,29.2
12/1/2010,Admiralty,0,27,31.7,24.6,9.7,38.9
13/1/2010,Admiralty,0,26.7,29.7,25.2,10.4,38.9
14/1/2010,Admiralty,0,26.8,29.8,25.1,12.2,43.6
15/1/2010,Admiralty,0,26.6,29.8,24.5,12.7,42.8
16/1/2010,Admiralty,0,27,30.1,24.7,11.6,36.7
17/1/2010,Admiralty,0,27.3,31.3,24.6,13.6,37.4
18/1/2010,Admiralty,0,26.8,30.8,24.9,12.6,47.5
19/1/2010,Admiralty,0,27.1,32,24.6,7.5,37.1
20/1/2010,Admiralty,0.2,27.4,33.1,24.8,7.8,29.2
21/1/2010,Admiralty,39,27.2,31.3,23.6,9.4,30.6
22/1/2010,Admiralty,24,26.2,30.6,21.6,7.9,49.3
23/1/2010,Admiralty,0,27.6,31.6,24.8,12,34.9
24/1/2010,Admiralty,0,27.4,31.6,25.2,12.5,37.4
25/1/2010,Admiralty,0,27.3,31.5,24.9,13,38.2
26/1/2010,Admiralty,0,27.5,31.3,24.9,11.8,37.8
27/1/2010,Admiralty,2.4,27.2,30,25.3,12.7,42.8
28/1/2010,Admiralty,4.2,27.3,31.2,25.2,12.2,38.2
29/1/2010,Admiralty,7.2,27.2,31.4,25.1,11.4,37.4
30/1/2010,Admiralty,0,27.4,30.8,25.1,11.3,35.3
31/1/2010,Admiralty,0,27.7,31.2,25.6,11.2,34.9
1/2/2010,Admiralty,0,27.4,32,24.8,10.5,37.4
2/2/2010,Admiralty,0,27.8,34.6,24.1,9.6,32.4
3/2/2010,Admiralty,0,27.9,33.4,25,11.8,37.1
4/2/2010,Admiralty,0,28.1,32.1,25.6,12.2,37.4
5/2/2010,Admiralty,40.4,26.7,32.5,22.1,8,58.7
6/2/2010,Admiralty,0,27.9,31.8,25,10.2,36.7
7/2/2010,Admiralty,0,28,32.3,25.4,12.1,35.6
8/2/2010,Admiralty,0,28.1,32.5,25.6,11.8,34.9
9/2/2010,Admiralty,0,27.7,32.1,25.4,11.7,42.8
10/2/2010,Admiralty,0,28.2,31.7,25.7,12,40.3
11/2/2010,Admiralty,0,28.1,31.6,26,12.5,39.6
12/2/2010,Admiralty,0,28.4,33.3,25.2,12.1,40
13/2/2010,Admiralty,0,28.3,32.4,25.6,13.3,44.3
14/2/2010,Admiralty,0,28.2,32.2,25.4,11.4,36.4
15/2/2010,Admiralty,0,28,31.5,26.1,11,38.5
16/2/2010,Admiralty,0,28.5,32.5,26,13.1,41.8
17/2/2010,Admiralty,0.4,28.1,31.8,25.5,12.8,41.8
18/2/2010,Admiralty,2,27.7,31.2,25.7,13.8,52.9
19/2/2010,Admiralty,0,27.8,31.3,25.1,9.5,30.2
20/2/2010,Admiralty,0,27.7,30.8,25.6,10.4,36.7
21/2/2010,Admiralty,41.6,27.5,32,24.4,10.4,45.7
22/2/2010,Admiralty,0,28.3,32.6,25.5,9.8,39.2
23/2/2010,Admiralty,0,28.4,33.8,25.5,11,33.5
24/2/2010,Admiralty,0,28.5,33.9,25.3,10.9,34.2
